Date,FlightNumber,FromCity,From,FromICAO,FromIATA,ToIATA,ToICAO,ToCity,To,Departure,Arrival,Duration,Airline,AirlineICAO,AirlineIATA,AirlineColor,Aircraft,Registration,Seat,Seat type,Class,Reason,IsInternational,TicketPrice,PathFile
2014-04-25,TK2481,Adana, Şakirpaşa,LTAF,ADA,SAW,LTFJ,İstanbul, Sabiha Gökçen,1398418800,1398425400,6600,AnadoluJet,AJA,TK,#216FFF,Boeing 737-800 (B738),,,1,1,1,0,,14-04-25-TK2481
2014-05-02,TK2460,İstanbul, Sabiha Gökçen,LTFJ,SAW,ADA,LTAF,Adana, Şakirpaşa,1399022100,1399028100,6000,AnadoluJet,AJA,TK,#216FFF,Airbus A321-200 (A321),,,1,1,1,0,,14-05-02-TK2460
2016-05-18,PC2081,Adana, Şakirpaşa,LTAF,ADA,SAW,LTFJ,İstanbul, Sabiha Gökçen,1463550300,1463556000,5700,Pegasus,PGT,PC,#ff8c00,Airbus A321-200 (A321),,,1,1,1,0,,16-05-18-PC2081
2016-05-18,PC1021,İstanbul, Sabiha Gökçen,LTFJ,SAW,MUC,EDDM,Munich, Franz Josef Strauss,1463563500,1463569800,6300,Pegasus,PGT,PC,#ff8c00,Airbus A320neo (A20N),,,1,1,1,1,,16-05-18-PC1021
2016-05-21,TK1884,Vienna, Schwechat,LOWW,VIE,ISL,LTBA,İstanbul, Atatürk,1463820300,1463828700,8400,Turkish Airlines,THY,TK,#ff0000,Boeing 737-700 (B737),,,1,1,1,1,,16-05-21-TK1884
2016-05-21,TK2466,İstanbul, Atatürk,LTBA,ISL,ADA,LTAF,Adana, Şakirpaşa,1463838300,1463844900,6600,Turkish Airlines,THY,TK,#ff0000,Boeing 737-800 (B738),,,1,1,1,0,,16-05-21-TK2466
2017-05-04,XQ9007,Adana, Şakirpaşa,LTAF,ADA,ADB,LTBJ,İzmir, Adnan Menderes,1493876400,1493881800,5400,SunExpress,SXS,XQ,#F5DD00,Boeing 737-800 (B738),,,2,1,1,0,,17-05-04-XQ9007
2017-05-07,XQ9306,İzmir, Adnan Menderes,LTBJ,ADB,ADA,LTAF,Adana, Şakirpaşa,1494178800,1494183900,5100,SunExpress,SXS,XQ,#F5DD00,Boeing 737-800 (B738),,,1,1,1,0,,17-05-07-XQ9306
2018-07-21,TK2257,Hatay, Antakya,LTAK,HTY,ISL,LTBA,İstanbul, Atatürk,1532139000,1532145000,6000,Turkish Airlines,THY,TK,#ff0000,Boeing 737-800 (B738),TC-JSF,,3,1,1,0,,18-07-21-TK2257
2018-07-22,TK1981,İstanbul, Atatürk,LTBA,ISL,LGW,EGKK,London, Gatwick,1532233500,1532248500,15000,Turkish Airlines,THY,TK,#ff0000,Airbus A321LR (A21N),TC-JTL,,2,1,1,1,,18-07-22-TK1981
2018-08-05,TK1972,London, Heathrow,EGLL,LHR,ISL,LTBA,İstanbul, Atatürk,1533489900,1533504000,14100,Turkish Airlines,THY,TK,#ff0000,Boeing 777-300ER (B77W),TC-LJA,,3,1,1,1,,18-08-05-TK1972
2018-08-06,TK2252,İstanbul, Atatürk,LTBA,ISL,HTY,LTAK,Hatay, Antakya,1533538800,1533545100,6300,Turkish Airlines,THY,TK,#ff0000,Boeing 737-800 (B738),TC-JGG,,1,1,1,0,,18-08-06-TK2252
2022-11-25,TK2253,Hatay, Antakya,LTAK,HTY,IST,LTFM,İstanbul, Istanbul Airport,1669338000,1669344900,6900,Turkish Airlines,THY,TK,#ff0000,Boeing 737-700 (B737),TC-JHV,,1,1,1,0,,22-11-25-TK2253
2022-11-25,PC2134,İstanbul, Sabiha Gökçen,LTFJ,SAW,HTY,LTAK,Hatay, Antakya,1669393800,1669399800,6000,Pegasus,PGT,PC,#ff8c00,Airbus A320neo (A20N),TC-DGC,,3,1,1,0,,22-11-25-PC2134
2023-08-02,PC1854,Adana, Şakirpaşa,LTAF,ADA,ECN,LCEN,Nicosia, Ercan,1690980000,1690983000,3000,Pegasus,PGT,PC,#ff8c00,Airbus A320neo (A20N),TC-NBN,,1,1,4,1,,23-08-02-PC1854
2023-08-05,PC1853,Nicosia, Ercan,LCEN,ECN,ADA,LTAF,Adana, Şakirpaşa,1691234400,1691237100,2700,Pegasus,PGT,PC,#ff8c00,Airbus A320-200 (A320),TC-DCL,,1,1,4,1,,23-08-05-PC1853
2023-09-02,TK7261,Adana, Şakirpaşa,LTAF,ADA,SAW,LTFJ,İstanbul, Sabiha Gökçen,1693635300,1693640700,5400,AnadoluJet,AJA,TK,#216FFF,Boeing 737-700 (B737),TC-JZL,,3,1,1,0,,23-09-02-TK7261
2023-09-07,TK7260,İstanbul, Sabiha Gökçen,LTFJ,SAW,ADA,LTAF,Adana, Şakirpaşa,1694059800,1694064900,5100,AnadoluJet,AJA,TK,#216FFF,Boeing 737-700 (B737),TC-JZL,,1,1,1,0,,23-09-07-TK7260
